17.5,10,10,1,1,1,1.81916,1.7859,1.76783,1,1,1,1.81916,1.7859,1.76783,1,1,1,1.52532,1.51712,1.51184,1,1,1,1.52532,1.51712,1.51184,1,1,1,1,1,1,0,39.9999,0,8.7,-31.39,0.270527,-39.78,2.5,39.78,0.81097,71.08,7.5,-71.08,7.65917,39.38,11,0,64.921,0,0
17.5,10,10,1,1,1,1.81916,1.7859,1.76783,1,1,1,1.81916,1.7859,1.76783,1,1,1,1.52532,1.51712,1.51184,1,1,1,1.52532,1.51712,1.51184,1,1,1,1,1,1,0,39.9998,0,8.7,-31.39,0.545442,-39.78,2.5,39.78,0.805143,71.08,7.5,-71.08,9.0136,0,11,-39.38,71.2355,0,0
17.5,10,10,1,1,1,1.81916,1.7859,1.76783,1,1,1,1.81916,1.7859,1.76783,1,1,1,1.52532,1.51712,1.51184,1,1,1,1.52532,1.51712,1.51184,1,1,1,1,1,1,0,40.0875,31.39,8.7,0,2.26502,-39.78,2.5,39.78,6.10008,71.08,7.5,-71.08,19.3699,39.38,11,0,53.6866,0,0
17.5,10,10,1,1,1,1.81916,1.7859,1.76783,1,1,1,1.81916,1.7859,1.76783,1,1,1,1.52532,1.51712,1.51184,1,1,1,1.52532,1.51712,1.51184,1,1,1,1,1,1,0,39.9971,31.39,8.7,0,2.26689,-39.78,2.5,39.78,5.54333,71.08,7.5,-71.08,19.1264,0,11,-39.38,53.7789,0,0
9.75,8.5,10,1,1,1,1.69592,1.67352,1.66093,1,1,1,1.81916,1.7859,1.76783,1,1,1,1.46557,1.45874,1.45424,1,1,1,1.46557,1.45874,1.45424,1,1,1,1,1,1,0,18.0474,16.82,8,0,0.659822,0,3,11.77,2.2169,16.05,5,0,5.16548,22.92,5.84,0,19.9999,0,0
9.75,8.5,10,1,1,1,1.69592,1.67352,1.66093,1,1,1,1.81916,1.7859,1.76783,1,1,1,1.46557,1.45874,1.45424,1,1,1,1.46557,1.45874,1.45424,1,1,1,1,1,1,0,18.3245,16.82,8,0,0.502282,0,3,11.77,1.64376,16.05,5,0,1.47837,0,5.84,-22.92,24.1992,0,0
9.75,8.5,10,1,1,1,1.69592,1.67352,1.66093,1,1,1,1.81916,1.7859,1.76783,1,1,1,1.46557,1.45874,1.45424,1,1,1,1.46557,1.45874,1.45424,1,1,1,1,1,1,0,16.9997,16.82,8,0,1.89001,0,3,11.77,2.02153,0,5,-16.05,3.30461,22.92,5.84,0,19.9952,0,0
9.75,8.5,10,1,1,1,1.69592,1.67352,1.66093,1,1,1,1.81916,1.7859,1.76783,1,1,1,1.46557,1.45874,1.45424,1,1,1,1.46557,1.45874,1.45424,1,1,1,1,1,1,0,15.9788,16.82,8,0,5.74088,0,3,11.77,1.8941,0,5,-16.05,3.47151,0,5.84,-22.92,19.4955,0,0
9.75,8.5,10,1,1,1,1.69592,1.67352,1.66093,1,1,1,1.81916,1.7859,1.76783,1,1,1,1.46557,1.45874,1.45424,1,1,1,1.46557,1.45874,1.45424,1,1,1,1,1,1,0,17.0267,16.82,8,0,2.05113,-11.77,3,0,0.249905,16.05,5,0,2.97729,22.92,5.84,0,19.9939,0,0
9.75,8.5,10,1,1,1,1.69592,1.67352,1.66093,1,1,1,1.81916,1.7859,1.76783,1,1,1,1.46557,1.45874,1.45424,1,1,1,1.46557,1.45874,1.45424,1,1,1,1,1,1,0,16.9997,16.82,8,0,3.5265,-11.77,3,0,0.249896,16.05,5,0,0.340266,0,5.84,-22.92,19.9952,0,0
9.75,8.5,10,1,1,1,1.69592,1.67352,1.66093,1,1,1,1.81916,1.7859,1.76783,1,1,1,1.46557,1.45874,1.45424,1,1,1,1.46557,1.45874,1.45424,1,1,1,1,1,1,0,16.999,16.82,8,0,2.94392,-11.77,3,0,0.250393,0,5,-16.05,4.39127,22.92,5.84,0,19.9987,0,0
9.75,8.5,10,1,1,1,1.69592,1.67352,1.66093,1,1,1,1.81916,1.7859,1.76783,1,1,1,1.46557,1.45874,1.45424,1,1,1,1.46557,1.45874,1.45424,1,1,1,1,1,1,0,17.0286,16.82,8,0,4.01894,-11.77,3,0,0.251031,0,5,-16.05,3.43005,0,5.84,-22.92,19.9997,0,0
9.75,8.5,10,1,1,1,1.69592,1.67352,1.66093,1,1,1,1.81916,1.7859,1.76783,1,1,1,1.46557,1.45874,1.45424,1,1,1,1.46557,1.45874,1.45424,1,1,1,1,1,1,0,16.9966,0,8,-16.82,4.72822,0,3,11.77,1.82581,16.05,5,0,0.25117,22.92,5.84,0,22.3593,0,0
