17.5,10,12,1,1,1,1.52532,1.51712,1.51184,1,1,1,1.52532,1.51712,1.51184,1,1,1,1.52532,1.51712,1.51184,1,1,1,1.81916,1.7859,1.76783,1,1,1,1.81916,1.7859,1.76783,1,1,1,1,1,1,0,43.1841,257.57,4.93,-257.57,4.68953,0,4.5,-51.68,0.296996,43.93,4.3,0,4.86845,-39.78,2.5,39.78,0.337043,31.39,8.7,0,49.9996,0,0
17.5,10,12,1,1,1,1.52532,1.51712,1.51184,1,1,1,1.52532,1.51712,1.51184,1,1,1,1.52532,1.51712,1.51184,1,1,1,1.81916,1.7859,1.76783,1,1,1,1.81916,1.7859,1.76783,1,1,1,1,1,1,0,39.9998,257.57,4.93,-257.57,7.69446,0,4.5,-51.68,8.41168,43.93,4.3,0,3.22409,-39.78,2.5,39.78,10.3943,0,8.7,-31.39,50.0055,0,0
17.5,10,12,1,1,1,1.52532,1.51712,1.51184,1,1,1,1.52532,1.51712,1.51184,1,1,1,1.52532,1.51712,1.51184,1,1,1,1.81916,1.7859,1.76783,1,1,1,1.81916,1.7859,1.76783,1,1,1,1,1,1,0,39.997,257.57,4.93,-257.57,4.30807,0,4.5,-51.68,4.15883,0,4.3,-43.93,4.30845,-39.78,2.5,39.78,0.261025,31.39,8.7,0,49.9962,0,0
17.5,10,12,1,1,1,1.52532,1.51712,1.51184,1,1,1,1.52532,1.51712,1.51184,1,1,1,1.52532,1.51712,1.51184,1,1,1,1.81916,1.7859,1.76783,1,1,1,1.81916,1.7859,1.76783,1,1,1,1,1,1,0,39.9999,257.57,4.93,-257.57,0.249846,0,4.5,-51.68,6.90404,0,4.3,-43.93,3.28277,-39.78,2.5,39.78,7.26399,0,8.7,-31.39,56.7671,0,0
17.5,10,12,1,1,1,1.52532,1.51712,1.51184,1,1,1,1.52532,1.51712,1.51184,1,1,1,1.52532,1.51712,1.51184,1,1,1,1.81916,1.7859,1.76783,1,1,1,1.81916,1.7859,1.76783,1,1,1,1,1,1,0,43.8719,257.57,4.93,-257.57,5.68661,51.68,4.5,0,0.2722,43.93,4.3,0,3.99551,-39.78,2.5,39.78,0.430747,31.39,8.7,0,49.9994,0,0
17.5,10,12,1,1,1,1.52532,1.51712,1.51184,1,1,1,1.52532,1.51712,1.51184,1,1,1,1.52532,1.51712,1.51184,1,1,1,1.81916,1.7859,1.76783,1,1,1,1.81916,1.7859,1.76783,1,1,1,1,1,1,0,39.9998,257.57,4.93,-257.57,7.31954,51.68,4.5,0,5.74579,43.93,4.3,0,2.71241,-39.78,2.5,39.78,10.2025,0,8.7,-31.39,51.3156,0,0
17.5,10,12,1,1,1,1.52532,1.51712,1.51184,1,1,1,1.52532,1.51712,1.51184,1,1,1,1.52532,1.51712,1.51184,1,1,1,1.81916,1.7859,1.76783,1,1,1,1.81916,1.7859,1.76783,1,1,1,1,1,1,0,39.9984,257.57,4.93,-257.57,0.259413,51.68,4.5,0,2.07945,0,4.3,-43.93,4.25898,-39.78,2.5,39.78,0.24989,31.39,8.7,0,49.997,0,0
17.5,10,12,1,1,1,1.52532,1.51712,1.51184,1,1,1,1.52532,1.51712,1.51184,1,1,1,1.52532,1.51712,1.51184,1,1,1,1.81916,1.7859,1.76783,1,1,1,1.81916,1.7859,1.76783,1,1,1,1,1,1,0,39.9999,257.57,4.93,-257.57,0.439524,51.68,4.5,0,5.12863,0,4.3,-43.93,3.671,-39.78,2.5,39.78,6.13547,0,8.7,-31.39,55.1314,0,0
17.5,10,12,1,1,1,1.52532,1.51712,1.51184,1,1,1,1.52532,1.51712,1.51184,1,1,1,1.52532,1.51712,1.51184,1,1,1,1.81916,1.7859,1.76783,1,1,1,1.81916,1.7859,1.76783,1,1,1,1,1,1,0,42.3611,257.57,4.93,-257.57,4.17724,0,7,-51.68,0.260877,43.93,4.3,0,4.84914,-39.78,2.5,39.78,0.321196,31.39,8.7,0,49.9995,0,0
17.5,10,12,1,1,1,1.52532,1.51712,1.51184,1,1,1,1.52532,1.51712,1.51184,1,1,1,1.52532,1.51712,1.51184,1,1,1,1.81916,1.7859,1.76783,1,1,1,1.81916,1.7859,1.76783,1,1,1,1,1,1,0,39.9997,257.57,4.93,-257.57,6.44684,0,7,-51.68,8.10045,43.93,4.3,0,3.31537,-39.78,2.5,39.78,10.3952,0,8.7,-31.39,50.0029,0,0
