17.5,70,10,4,0.45,0.58,0.75,5,12,1,1.52532,1,1.52532,1,1.52532,1,1.81916,1,1.81916,1,1,1,1.51712,1,1.51712,1,1.51712,1,1.7859,1,1.7859,1,1,1,1.51184,1,1.51184,1,1.51184,1,1.76783,1,1.76783,1,1,0,257.57,-257.57,0,-51.68,43.93,0,-39.78,39.78,31.39,0,0,43.1841,4.93,4.68953,4.5,0.296996,4.3,4.86845,2.5,0.337043,8.7,49.9996,0,10.9425,3.3896,2.99575
17.5,70,10,4,0.45,0.58,0.75,5,12,1,1.52532,1,1.52532,1,1.52532,1,1.81916,1,1.81916,1,1,1,1.51712,1,1.51712,1,1.51712,1,1.7859,1,1.7859,1,1,1,1.51184,1,1.51184,1,1.51184,1,1.76783,1,1.76783,1,1,0,257.57,-257.57,0,-51.68,43.93,0,-39.78,39.78,0,-31.39,0,39.9998,4.93,7.69446,4.5,8.41168,4.3,3.22409,2.5,10.3943,8.7,50.0055,0,11.2914,3.08533,2.25661
17.5,70,10,4,0.45,0.58,0.75,5,12,1,1.52532,1,1.52532,1,1.52532,1,1.81916,1,1.81916,1,1,1,1.51712,1,1.51712,1,1.51712,1,1.7859,1,1.7859,1,1,1,1.51184,1,1.51184,1,1.51184,1,1.76783,1,1.76783,1,1,0,257.57,-257.57,0,-51.68,0,-43.93,-39.78,39.78,31.39,0,0,39.997,4.93,4.30807,4.5,4.15883,4.3,4.30845,2.5,0.261025,8.7,49.9962,0,11.8889,8.68028,3.58923
17.5,70,10,4,0.45,0.58,0.75,5,12,1,1.52532,1,1.52532,1,1.52532,1,1.81916,1,1.81916,1,1,1,1.51712,1,1.51712,1,1.51712,1,1.7859,1,1.7859,1,1,1,1.51184,1,1.51184,1,1.51184,1,1.76783,1,1.76783,1,1,0,257.57,-257.57,0,-51.68,0,-43.93,-39.78,39.78,0,-31.39,0,39.9999,4.93,0.249846,4.5,6.90404,4.3,3.28277,2.5,7.26399,8.7,56.7671,0,11.9338,1.41116,0.286718
17.5,70,10,4,0.45,0.58,0.75,5,12,1,1.52532,1,1.52532,1,1.52532,1,1.81916,1,1.81916,1,1,1,1.51712,1,1.51712,1,1.51712,1,1.7859,1,1.7859,1,1,1,1.51184,1,1.51184,1,1.51184,1,1.76783,1,1.76783,1,1,0,257.57,-257.57,51.68,0,43.93,0,-39.78,39.78,31.39,0,0,43.8719,4.93,5.68661,4.5,0.2722,4.3,3.99551,2.5,0.430747,8.7,49.9994,0,12.0317,4.41769,2.76091
17.5,70,10,4,0.45,0.58,0.75,5,12,1,1.52532,1,1.52532,1,1.52532,1,1.81916,1,1.81916,1,1,1,1.51712,1,1.51712,1,1.51712,1,1.7859,1,1.7859,1,1,1,1.51184,1,1.51184,1,1.51184,1,1.76783,1,1.76783,1,1,0,257.57,-257.57,51.68,0,43.93,0,-39.78,39.78,0,-31.39,0,39.9998,4.93,7.31954,4.5,5.74579,4.3,2.71241,2.5,10.2025,8.7,51.3156,0,11.4733,4.70389,1.99998
17.5,70,10,4,0.45,0.58,0.75,5,12,1,1.52532,1,1.52532,1,1.52532,1,1.81916,1,1.81916,1,1,1,1.51712,1,1.51712,1,1.51712,1,1.7859,1,1.7859,1,1,1,1.51184,1,1.51184,1,1.51184,1,1.76783,1,1.76783,1,1,0,257.57,-257.57,51.68,0,0,-43.93,-39.78,39.78,31.39,0,0,39.9984,4.93,0.259413,4.5,2.07945,4.3,4.25898,2.5,0.24989,8.7,49.997,0,11.9465,6.25247,4.09445
17.5,70,10,4,0.45,0.58,0.75,5,12,1,1.52532,1,1.52532,1,1.52532,1,1.81916,1,1.81916,1,1,1,1.51712,1,1.51712,1,1.51712,1,1.7859,1,1.7859,1,1,1,1.51184,1,1.51184,1,1.51184,1,1.76783,1,1.76783,1,1,0,257.57,-257.57,51.68,0,0,-43.93,-39.78,39.78,0,-31.39,0,39.9999,4.93,0.439524,4.5,5.12863,4.3,3.671,2.5,6.13547,8.7,55.1314,0,11.4362,1.22459,0.925945
17.5,70,10,4,0.45,0.58,0.75,5,12,1,1.52532,1,1.52532,1,1.52532,1,1.81916,1,1.81916,1,1,1,1.51712,1,1.51712,1,1.51712,1,1.7859,1,1.7859,1,1,1,1.51184,1,1.51184,1,1.51184,1,1.76783,1,1.76783,1,1,0,257.57,-257.57,0,-51.68,43.93,0,-39.78,39.78,31.39,0,0,42.3611,4.93,4.17724,7,0.260877,4.3,4.84914,2.5,0.321196,8.7,49.9995,0,12.1888,3.79207,3.02284
17.5,70,10,4,0.45,0.58,0.75,5,12,1,1.52532,1,1.52532,1,1.52532,1,1.81916,1,1.81916,1,1,1,1.51712,1,1.51712,1,1.51712,1,1.7859,1,1.7859,1,1,1,1.51184,1,1.51184,1,1.51184,1,1.76783,1,1.76783,1,1,0,257.57,-257.57,0,-51.68,43.93,0,-39.78,39.78,0,-31.39,0,39.9997,4.93,6.44684,7,8.10045,4.3,3.31537,2.5,10.3952,8.7,50.0029,0,12.1203,3.1604,2.29139
17.5,70,10,4,0.45,0.58,0.75,5,12,1,1.52532,1,1.52532,1,1.52532,1,1.81916,1,1.81916,1,1,1,1.51712,1,1.51712,1,1.51712,1,1.7859,1,1.7859,1,1,1,1.51184,1,1.51184,1,1.51184,1,1.76783,1,1.76783,1,1,0,257.57,-257.57,0,-51.68,0,-43.93,-39.78,39.78,31.39,0,0,39.9966,4.93,4.33377,7,4.14792,4.3,4.24304,2.5,0.249839,8.7,49.9954,0,11.9486,9.41039,3.42531
17.5,70,10,4,0.45,0.58,0.75,5,12,1,1.52532,1,1.52532,1,1.52532,1,1.81916,1,1.81916,1,1,1,1.51712,1,1.51712,1,1.51712,1,1.7859,1,1.7859,1,1,1,1.51184,1,1.51184,1,1.51184,1,1.76783,1,1.76783,1,1,0,257.57,-257.57,0,-51.68,0,-43.93,-39.78,39.78,0,-31.39,0,39.9999,4.93,0.301423,7,5.74236,4.3,3.60085,2.5,7.1053,8.7,56.8342,0,11.5095,1.47358,0.240235
17.5,70,10,4,0.45,0.58,0.75,5,12,1,1.52532,1,1.52532,1,1.52532,1,1.81916,1,1.81916,1,1,1,1.51712,1,1.51712,1,1.51712,1,1.7859,1,1.7859,1,1,1,1.51184,1,1.51184,1,1.51184,1,1.76783,1,1.76783,1,1,0,257.57,-257.57,51.68,0,43.93,0,-39.78,39.78,31.39,0,0,39.9949,4.93,5.63161,7,4.00967,4.3,2.26534,2.5,4.16457,8.7,49.9695,0,12.3348,5.15484,1.40819
17.5,70,10,4,0.45,0.58,0.75,5,12,1,1.52532,1,1.52532,1,1.52532,1,1.81916,1,1.81916,1,1,1,1.51712,1,1.51712,1,1.51712,1,1.7859,1,1.7859,1,1,1,1.51184,1,1.51184,1,1.51184,1,1.76783,1,1.76783,1,1,0,257.57,-257.57,51.68,0,43.93,0,-39.78,39.78,0,-31.39,0,39.9997,4.93,7.26746,7,5.41905,4.3,2.3459,2.5,10.1812,8.7,51.2412,0,12.5309,3.767,1.99997
17.5,70,10,4,0.45,0.58,0.75,5,12,1,1.52532,1,1.52532,1,1.52532,1,1.81916,1,1.81916,1,1,1,1.51712,1,1.51712,1,1.51712,1,1.7859,1,1.7859,1,1,1,1.51184,1,1.51184,1,1.51184,1,1.76783,1,1.76783,1,1,0,257.57,-257.57,51.68,0,0,-43.93,-39.78,39.78,31.39,0,0,39.9981,4.93,4.32549,7,3.57274,4.3,2.97467,2.5,0.24985,8.7,49.9957,0,12.4566,10.3356,3.66305
17.5,70,10,4,0.45,0.58,0.75,5,12,1,1.52532,1,1.52532,1,1.52532,1,1.81916,1,1.81916,1,1,1,1.51712,1,1.51712,1,1.51712,1,1.7859,1,1.7859,1,1,1,1.51184,1,1.51184,1,1.51184,1,1.76783,1,1.76783,1,1,0,257.57,-257.57,51.68,0,0,-43.93,-39.78,39.78,0,-31.39,0,40,4.93,0.298215,7,2.92799,4.3,3.76874,2.5,6.1267,8.7,55.4148,0,11.1407,1.18459,0.940957
17.5,70,10,4,0.45,0.58,0.75,5,12,1,1.52532,1,1.52532,1,1.52532,1,1.81916,1,1.81916,1,1,1,1.51712,1,1.51712,1,1.51712,1,1.7859,1,1.7859,1,1,1,1.51184,1,1.51184,1,1.51184,1,1.76783,1,1.76783,1,1,0,0,-129.2,0,-51.68,43.93,0,-39.78,39.78,31.39,0,0,42.9997,3,4.52354,7,0.255392,4.3,4.89143,2.5,0.45662,8.7,49.9996,0,12.236,3.20521,2.92624
17.5,70,10,4,0.45,0.58,0.75,5,12,1,1.52532,1,1.52532,1,1.52532,1,1.81916,1,1.81916,1,1,1,1.51712,1,1.51712,1,1.51712,1,1.7859,1,1.7859,1,1,1,1.51184,1,1.51184,1,1.51184,1,1.76783,1,1.76783,1,1,0,0,-129.2,0,-51.68,43.93,0,-39.78,39.78,0,-31.39,0,39.9992,3,7.62744,7,8.37459,4.3,3.23438,2.5,10.519,8.7,50.0048,0,12.8383,3.21632,2.36786
17.5,70,10,4,0.45,0.58,0.75,5,12,1,1.52532,1,1.52532,1,1.52532,1,1.81916,1,1.81916,1,1,1,1.51712,1,1.51712,1,1.51712,1,1.7859,1,1.7859,1,1,1,1.51184,1,1.51184,1,1.51184,1,1.76783,1,1.76783,1,1,0,0,-129.2,0,-51.68,0,-43.93,-39.78,39.78,31.39,0,0,39.997,3,4.31434,7,4.16956,4.3,4.34297,2.5,0.257014,8.7,49.9962,0,12.87,8.71456,3.5512
17.5,70,10,4,0.45,0.58,0.75,5,12,1,1.52532,1,1.52532,1,1.52532,1,1.81916,1,1.81916,1,1,1,1.51712,1,1.51712,1,1.51712,1,1.7859,1,1.7859,1,1,1,1.51184,1,1.51184,1,1.51184,1,1.76783,1,1.76783,1,1,0,0,-129.2,0,-51.68,0,-43.93,-39.78,39.78,0,-31.39,0,39.9999,3,0.309056,7,7.19563,4.3,3.18918,2.5,7.46543,8.7,56.6919,0,12.8421,1.39989,0.176094
17.5,70,10,4,0.45,0.58,0.75,5,12,1,1.52532,1,1.52532,1,1.52532,1,1.81916,1,1.81916,1,1,1,1.51712,1,1.51712,1,1.51712,1,1.7859,1,1.7859,1,1,1,1.51184,1,1.51184,1,1.51184,1,1.76783,1,1.76783,1,1,0,0,-129.2,51.68,0,43.93,0,-39.78,39.78,31.39,0,0,39.9936,3,5.69107,7,4.05768,4.3,2.26499,2.5,4.4915,8.7,49.967,0,11.9246,5.97414,1.37094
17.5,70,10,4,0.45,0.58,0.75,5,12,1,1.52532,1,1.52532,1,1.52532,1,1.81916,1,1.81916,1,1,1,1.51712,1,1.51712,1,1.51712,1,1.7859,1,1.7859,1,1,1,1.51184,1,1.51184,1,1.51184,1,1.76783,1,1.76783,1,1,0,0,-129.2,51.68,0,0,-43.93,-39.78,39.78,31.39,0,0,39.9979,3,4.43649,7,3.67774,4.3,3.16748,2.5,0.250648,8.7,49.9943,0,11.8272,9.7059,3.78001
17.5,70,10,4,0.45,0.58,0.75,5,12,1,1.52532,1,1.52532,1,1.52532,1,1.81916,1,1.81916,1,1,1,1.51712,1,1.51712,1,1.51712,1,1.7859,1,1.7859,1,1,1,1.51184,1,1.51184,1,1.51184,1,1.76783,1,1.76783,1,1,0,129.2,0,51.68,0,0,-43.93,-39.78,39.78,31.39,0,0,39.9984,3,0.249983,7,1.32766,4.3,3.91221,2.5,0.249894,8.7,49.9969,0,12.3105,6.93407,4.29852
