1.26538542,0.01441911,1.00323028,0.00813104,0.05433032,102.821166
1.34533359,0.20907318,0.93735716,0.00997744,0.04704508,111.886764
1.34702224,0.21003776,19.5350768,0.00980851,0.0471788,2279.1547
1.34533359,0.20907318,0.93735716,0.00997744,0.04704508,111.886764
1.3104463,0.19603426,0.96612977,0.00958633,0.04576276,115.011883
0.90936218,0.27907705,0.8918133,0.00520142,0.01589384,95.9109448
1.15687082,0.06426254,0.87237614,0.00809424,0.03860513,104.74773
1.14094396,0.14500119,37.4705786,0.00694945,0.03105744,4536.25624
1.1273555,0.1244123,0.82710053,0.00720342,0.02698359,100.384588
1.66842615,0.2985128,1.0774376,0.010316,0.04692163,82.5078509
1.28773667,0.51824485,26.1756109,0.00557542,0.02236795,1892.2533
2.45505861,0.45300608,2.3851308,0.01356704,0.0545803,167.904715
1.28035628,0.16350597,0.89393011,0.00929854,0.04491358,110.493685
1.34611327,0.14242802,0.90047718,0.00971744,0.05019116,111.959703
1.28552924,0.15835762,0.89217512,0.00939886,0.04525667,110.544829
1.21640125,0.13366454,0.88339947,0.00857807,0.0420143,107.59306
1.22510445,0.12515567,0.89223675,0.00870432,0.04273252,108.049968
1.5851495,0.14355939,1.08521269,0.00926681,0.04244898,105.613573
1.42056328,0.10272127,1.14380976,0.00942015,0.05310873,110.278856
1.51503623,0.15362196,1.15427909,0.00942735,0.04308265,124.889868
1.43903433,0.09670461,1.09875818,0.009078,0.05082121,105.691856
1.12365662,0.30927685,0.88151196,0.00644743,0.02222844,107.297751
1.01662154,0.31990305,0.937233,0.00592384,0.02038284,113.118417
1.28834642,0.13281772,0.94539537,0.00779981,0.03156312,105.965875
1.28834642,0.13281772,0.94539537,0.00779981,0.03156312,105.965875
1.31004128,0.14203826,0.96492935,0.00796596,0.03306721,109.19732
1.28385965,0.07193009,1.05048927,0.00825816,0.044192,107.097324
1.53652081,0.1569711,1.30196815,0.01084357,0.05622788,131.3397
1.65554268,0.17131977,1.33664448,0.01044856,0.04993948,118.961472
0.88830813,0.32896448,0.98461077,0.00516901,0.016119,99.7575331
1.03961212,0.23179234,1.01046945,0.0060007,0.02001791,103.560653
1.03961212,0.23179234,1.01046945,0.0060007,0.02001791,103.560653
1.03961212,0.23179234,1.01046945,0.0060007,0.02001791,103.560653
1.39757037,0.1592014,1.2686543,0.00995906,0.05469318,119.248346
0.84430934,0.34414782,0.91079021,0.00475112,0.01498148,97.8600293
0.97124782,0.21690142,0.90465167,0.00472302,0.01535756,168.68133
0.73804271,0.36337197,0.98929626,0.00339066,0.01175512,212.842145
1.08511833,0.19956201,0.93051166,0.006611,0.02411087,111.982777
1.19286778,0.08933466,0.92081981,0.00839155,0.04040108,112.572446
1.3322245,0.28924161,1.15161734,0.00840298,0.03442397,88.4310532
1.23697554,0.15356938,0.90397627,0.00747171,0.03080536,70.1731084
1.35055424,0.19757551,1.09962992,0.00876282,0.03717672,90.3866994
1.35055424,0.19757551,1.09962992,0.00876282,0.03717672,90.3866994
1.47460789,0.19358449,1.26589974,0.00986144,0.04454776,106.436258
1.62693651,0.24369876,1.62007141,0.01088086,0.04942078,131.009163
1.80984227,0.15729555,1.0930037,0.01017116,0.04424318,100.687748
1.87134529,0.25078301,1.22048639,0.00933322,0.03456378,83.2404866
1.79653417,0.3115779,1.15981863,0.00927313,0.03582012,87.3448712
1.75836958,0.31353779,1.18925231,0.0087281,0.02930208,85.1780644
1.51697436,0.45587546,1.07469242,0.00750943,0.02600467,80.5945159
1.74028764,0.22671055,1.32525548,0.01079256,0.05386266,106.268665
1.72878017,0.16925783,1.19386956,0.00886015,0.03634165,82.9009069
1.17365704,0.5889924,0.97801439,0.00577032,0.02004017,95.4873482
1.50781212,0.31886683,1.14287213,0.00746099,0.02420248,80.9565165
1.22718116,0.42078374,1.01284843,0.00602076,0.01968629,88.4370099
1.14229781,0.53513844,1.04088385,0.00585779,0.01985461,100.834017
1.50441986,0.47412056,1.17784354,0.00719666,0.02491432,83.144321
1.42288601,0.59366134,1.1613526,0.00670283,0.02194162,80.7407701
1.26661442,0.66591932,1.1249612,0.00589278,0.0197509,78.8894174
1.23679889,0.44505184,1.01745888,0.00610106,0.02013883,90.638038
1.33183167,0.54662321,1.19084015,0.00620024,0.02164654,82.5827736
1.46231905,0.34439959,1.15508372,0.0072427,0.02433531,85.4686868
1.96485075,0.47523126,1.48360109,0.0098206,0.03447134,110.739863
1.98550331,0.27405704,1.28945661,0.01095833,0.04745516,96.9085286
1.86348331,0.41330726,1.35784815,0.00910368,0.03392473,93.3580595
1.93502827,0.23662935,1.26291344,0.01040014,0.04475053,87.437569
1.78897105,0.38675867,1.30506243,0.00872506,0.0308085,92.7743824
1.87140198,0.26777788,1.73030008,0.01121719,0.0505135,147.106505
1.87140198,0.26777788,1.73030008,0.01121719,0.0505135,147.106505
2.16701566,0.31981276,1.66004486,0.01235955,0.05606103,107.047718
2.17988922,0.30649518,1.56882437,0.01258054,0.05671914,105.316538
2.30861228,0.35473664,1.92227125,0.0130447,0.05575242,133.196869
2.00029547,0.29892689,1.80691843,0.0121426,0.05387362,156.530829
2.00029547,0.29892689,1.80691843,0.0121426,0.05387362,156.530829
1.15610775,0.15322934,0.78561897,0.00585597,0.01940724,140.537046
1.029607,0.1880506,0.73648817,0.005168,0.01666588,138.964129
0.88727211,0.48959243,1.04865296,0.00469824,0.01618185,104.374975
1.38121836,0.19674565,0.88608921,0.00706416,0.02332513,97.4847345
1.60865158,0.23772592,1.51530653,0.01196549,0.05905897,135.521676
1.62153902,0.25628784,1.64447552,0.01222415,0.05957368,147.468793
1.73759695,0.31374735,1.89878101,0.01318871,0.06230681,155.23629
1.69022361,0.28887005,1.7045187,0.01305121,0.06136919,149.517689
1.57055634,0.21898709,1.50824017,0.0116507,0.05978569,132.709339
1.47343127,0.16368185,1.36920899,0.01090191,0.05856837,127.404933
1.67780282,0.28284989,1.63539276,0.01267935,0.06020384,145.760496
1.52481889,0.18708553,1.42729015,0.01125476,0.05889954,129.141675
1.87543831,0.37375749,2.30001797,0.01417495,0.06405099,177.389795
1.87543831,0.37375749,2.30001797,0.01417495,0.06405099,177.389795
1.87543831,0.37375749,2.30001797,0.01417495,0.06405099,177.389795
1.77931763,0.33814987,2.08734474,0.01337142,0.06175336,174.01759
2.0245976,0.4701872,2.59970433,0.01470532,0.06929983,161.817601
1.77931763,0.33814987,2.08734474,0.01337142,0.06175336,174.01759
1.77931763,0.33814987,2.08734474,0.01337142,0.06175336,174.01759
1.77931763,0.33814987,2.08734474,0.01337142,0.06175336,174.01759
1.55075812,0.20981692,1.46205491,0.01143383,0.05827257,133.24165
1.17963631,0.2298173,0.93578965,0.00680282,0.02197372,101.513232
0.93615537,0.59405202,1.04374583,0.00461717,0.01688593,103.736265
1.34317774,0.2411444,0.99431797,0.00704687,0.0229005,92.7508526
1.28189012,0.25773826,0.96818604,0.00727192,0.02428235,110.377773
1.28189012,0.25773826,0.96818604,0.00727192,0.02428235,110.377773
1.32993741,0.228543,0.98846521,0.00716874,0.02464559,100.886364
0.99146382,0.49598212,0.98739393,0.0052273,0.01727336,98.3594579
1.4306027,0.15315055,1.01390904,0.00823983,0.03337368,106.870822
1.59222659,0.10352077,1.05174016,0.00920285,0.04235301,106.927374
1.44857867,0.11796593,1.06937528,0.0086931,0.04215666,111.300666
1.07715032,0.16807911,0.85188989,0.00676602,0.02306428,89.0498778
1.07509891,0.16889504,0.86050398,0.00676602,0.02306428,89.0498778
1.18318503,0.08717564,1.03133701,0.00722142,0.02682168,101.702362
1.76003244,0.24828675,1.15935122,0.00938006,0.03605375,86.4324693
1.3932426,0.41888277,1.043807,0.0071596,0.02336374,88.3284426
1.85543101,0.31585465,1.28561839,0.01003282,0.03870952,94.5421507
1.84910553,0.32982867,1.30400901,0.00999235,0.0387438,95.8967681
1.84568806,0.3390016,1.32418921,0.00988496,0.03780974,97.841543
2.3330067,0.4529614,1.25172339,0.01688384,0.07160863,118.707479
1.62594647,0.23592761,1.67434623,0.01216967,0.06007104,145.651908
1.55370411,0.20633256,1.39708831,0.01165827,0.05820878,130.748028
1.31053414,0.16937619,1.10987714,0.00740877,0.02545635,107.751087
1.30536483,0.17143433,1.10117219,0.00736409,0.0255786,106.72606
1.3167841,0.17115476,1.12501473,0.00720717,0.02456596,102.739728
1.40790442,0.14338142,1.16513947,0.00784382,0.02877694,105.373397
1.55912923,0.28424629,0.96884293,0.0121481,0.0534549,112.174809
1.61625977,0.25922933,1.07762317,0.01275346,0.0581984,116.60768
1.73848403,0.31116897,1.17490871,0.01360686,0.06159605,121.922711
1.40301821,0.2317675,0.93905659,0.01057955,0.0493227,112.405955
1.57230542,0.33966115,1.03593712,0.01203822,0.05316036,120.005381
1.61957826,0.33949319,1.02566931,0.01255021,0.05445598,117.652222
1.46141885,0.24771302,0.94999583,0.01118261,0.05085947,112.041888
1.70579259,0.34422305,1.09601828,0.01338747,0.05795616,121.616024
1.81651371,0.42889364,1.07186278,0.01437042,0.05928012,121.419942
1.81651371,0.42889364,1.07186278,0.01437042,0.05928012,121.419942
1.72448482,0.39010489,1.04572858,0.01348719,0.05693181,118.557185
1.62113942,0.50658609,10.4032298,0.0113479,0.05358402,1118.83658
1.72448482,0.39010489,1.04572858,0.01348719,0.05693181,118.557185
